Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,1.230000,1.230000,1.230000,1.230000,1.230000,0
2015-06-01,1.230000,1.230000,1.230000,1.230000,1.230000,0
2015-07-01,0.480000,0.480000,0.480000,0.480000,0.480000,0
2015-08-01,null,null,null,null,null,null
2015-09-01,0.510000,0.510000,0.510000,0.510000,0.510000,0
2015-10-01,0.520000,0.520000,0.520000,0.520000,0.520000,0
2015-11-01,0.520000,0.520000,0.520000,0.520000,0.520000,0
2015-12-01,0.520000,0.520000,0.230000,0.230000,0.230000,9001
2016-01-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2016-02-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2016-03-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2016-04-01,0.250000,1.030000,0.250000,1.030000,1.030000,2862
2016-05-01,null,null,null,null,null,null
2016-06-01,null,null,null,null,null,null
2016-07-01,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-09-01,null,null,null,null,null,null
2016-10-01,null,null,null,null,null,null
2016-11-01,null,null,null,null,null,null
2016-12-01,null,null,null,null,null,null
2017-01-01,null,null,null,null,null,null
2017-02-01,null,null,null,null,null,null
2017-03-01,null,null,null,null,null,null
2017-04-01,null,null,null,null,null,null
2017-05-01,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-07-01,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-10-01,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,null,null,null,null,null,null
2018-06-01,null,null,null,null,null,null
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-11-01,null,null,null,null,null,null
2018-12-01,null,null,null,null,null,null
2019-01-01,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-06-01,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null
2019-09-01,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-11-01,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2020-01-01,null,null,null,null,null,null
2020-02-01,null,null,null,null,null,null
2020-03-01,null,null,null,null,null,null
2020-04-01,null,null,null,null,null,null
